"id","univ_name_cn","univ_name_en","Inst_type","policy_scope","tool_name","tool_specified","linked_to_pass","threshold_rule_index","has_numeric_threshold","metric_type","operator","threshold_value_pct","decision_point","remediation","threshold_text_excerpt","source_url"
6,"南京大学","Nanjing University","comprehensive universities","university-level","VIPS AIGC Detection System",1,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Graduation or thesis progression","Not stated","III. AIGC Detection In order to guide students in the proper and standardized use of generative artificial intelligence tools and to ensure the originality and academic integrity of their final academic work, ""Weipu AIGC Detection"" is made available to schools/departments for this year's graduation theses. The decision","https://jw.nju.edu.cn/99/f7/c26263a760311/page.htm"
9,"华中科技大学","Huazhong University of Science and Technology","comprehensive universities","college-level","CNKI (China National Knowledge Infrastructure) Detection System",1,1,1,0,"AIGC ratio","Not numerically specified",,"Graduation or thesis progression","Yes","Each school (department) shall, based on the aforementioned principles and in consideration of their specific disciplinary characteristics, establish individualized AIGC detection thresholds for graduation projects (theses). Detection results below the threshold may be regarded as normal technical assistance, while res","https://energy.hust.edu.cn/info/1099/6770.htm"
16,"四川大学","Sichuan University","comprehensive universities","university-level","",0,1,1,1,"AIGC ratio","<=",20,"Graduation or thesis progression","Not stated","the proportion of AI-generated content in humanities and social sciences graduation theses (designs) should not exceed 20%, while in science, engineering, and medical fields, it should not exceed 15%. Schools are requested to refer to these r","https://jwc.scu.edu.cn/info/1047/9802.htm"
16,"四川大学","Sichuan University","comprehensive universities","university-level","",0,1,2,1,"AIGC ratio","<=",15,"Graduation or thesis progression","Not stated","duation theses (designs) should not exceed 20%, while in science, engineering, and medical fields, it should not exceed 15%. Schools are requested to refer to these ratios and notify the relevant supervisors and students to address graduation","https://jwc.scu.edu.cn/info/1047/9802.htm"
27,"吉林大学","Jilin University","comprehensive universities","university-level","",0,0,1,0,"AIGC ratio","Not numerically specified",,"Graduation or thesis progression","Not stated","3. Supervising instructors are responsible for the implementation and oversight, rigorously ensuring the content and quality of undergraduate graduation theses (designs). They must enhance supervision and guidance, directing students to scientifically and appropriately use artificial intelligence technology in complian","https://csw.jlu.edu.cn/info/1095/7833.htm"
28,"中南大学","Central South University","comprehensive universities","college-level","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Graduation or thesis progression","Not stated","V. Plagiarism Check and Detection of Dissertations or Practical Works The plagiarism check and detection of dissertations or practical works shall be implemented in accordance with the Regulations on Plagiarism Check and Detection of Graduate Dissertations at Central South University (CSU Graduate Notice [2022] No. 30)","https://gra.csu.edu.cn/info/1021/40210.htm"
39,"南京航空航天大学","Nanjing University of Aeronautics and Astronautics","science and engineering universities","","",0,1,1,1,"AIGC ratio",">",40,"Defense eligibility","Not stated","Details regarding the AIGC detection platform will be announced separately. For students whose detection results exceed 40%, if the school's academic committee confirms the existence of academic misconduct, a delay of at least one month in the","https://cca.nuaa.edu.cn/2025/0401/c15586a371393/page.htm"
44,"西安电子科技大学 ","Xidian University","science and engineering universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Unspecified","Not stated","In order to prevent students from misusing AI tools in thesis writing, a portion of theses submitted for blind review will be randomly selected for AIGC detection (with full coverage for theses from the School of Economics and Management, School of Humanities, and School of Foreign Studies). The detection results will ","https://bksy.xidian.edu.cn/info/1003/26112.htm"
46,"北京交通大学","Beijing Jiaotong University","science and engineering universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Unspecified","Not stated","This year marks the first implementation of the AIGC detection function. Given that the reliability and effectiveness of test reports are not yet fully established, no mandatory regulations will be enforced at this stage. Supervising instructors are advised to consider the conclusions of the AIGC detection report when ","https://civil.bjtu.edu.cn/media/attachments/2025/04/20250429174928_210.pdf
https://civil.bjtu.edu.cn/cms/item/23750.html"
58,"西南交通大学","Southwest Jiaotong University","science and engineering universities","","VIPS AIGC Detection System",1,1,1,1,"AIGC ratio","<=",30,"Graduation or thesis progression","Not stated","In principle, the AIGC detection result for undergraduate graduation projects (theses) should not exceed 30%.","http://jwc.swjtu.edu.cn/vatuu/WebAction?setAction=newsDetail&viewType=web&newsId=92FC166F4FED41B7"
61,"中国地质大学（武汉）","China University of Geosciences","science and engineering universities","","",0,1,1,0,"AIGC ratio","No threshold value in threshold field",,"Defense eligibility","Not stated","The results of the two rounds of plagiarism detection (conducted prior to the blind review) and AIGC detection (conducted before the meeting of the respective degree evaluation sub-committees after the defense) will serve as important references for the subsequent discussions and decisions on degree conferral by the de","https://bksy.cug.edu.cn/info/1489/11884.htm"
80,"西南大学","Southwest University","comprehensive universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Unspecified","Not stated","In this round of thesis detection, an AIGC (Artificial Intelligence Generated Content) detection component will be added. The detection results will serve as a reference for instructors during the evaluation process.","https://ugs.swu.edu.cn/info/1012/3674.htm"
86,"西北农林科技大学","Northwest A&F University","agricultural universities","","CNKI (China National Knowledge Infrastructure) Detection System",1,1,1,0,"AIGC ratio","No threshold value in threshold field",,"Defense eligibility","No","The AIGC (AI-Generated Content) detection results will serve as a key reference for evaluating the grades of the 2025 undergraduate graduation theses (designs) and for selecting outstanding theses (designs). Students found to have violated the regulations on AI tool usage will face appropriate penalties based on the se","https://cmee.nwsuaf.edu.cn/xwzx/xytz/52e119da18b34a6b8209c6aa20023ad2.htm"
96,"福州大学","Fuzhou University","science and engineering universities","","",0,1,1,1,"AIGC ratio","<=",20,"Graduation or thesis progression","Not stated","the AIGC full-text detection value shall be ≤20%. (4) For university-level outstanding graduation projects (theses), the detection results after removing the student's","https://jzxy.fzu.edu.cn/info/1013/3232.htm"
96,"福州大学","Fuzhou University","science and engineering universities","","",0,1,2,1,"AIGC ratio","<=",15,"Graduation or thesis progression","Not stated","s own previously published work shall have a similarity ratio of ≤15%, and the AIGC full-text detection value shall be ≤15%. If either the similarity ratio after removal or the AIGC full-text detection value exceeds 15%, the qualification for","https://jzxy.fzu.edu.cn/info/1013/3232.htm"
103,"东北财经大学","Dongbei University of Finance and Economics","finance and economics universities","","",0,1,1,1,"AIGC ratio",">",40,"Unspecified","Yes","Intelligence-Generated Content) detection has been added to this round of testing. If the AIGC detection result exceeds 40%, it is recommended that the thesis be revised.","https://surrey.dufe.edu.cn/content_91162.html"
104,"江苏大学","Jiangsu University","comprehensive universities","","维普 AIGC 检测",1,1,1,1,"AIGC ratio","<=",40,"Defense eligibility","Not stated","The proportion of AI-generated content indicated by AIGC detection results shall in principle not exceed 40% (inclusive). If a student's AIGC detection results exceed the specified threshold during the defense, the college will","https://jwc.ujs.edu.cn/__local/4/ED/24/AA9B4251DB4F3F7C7456155F3BE_943364B4_2115F.pdf"
106,"华北电力大学","North China Electric Power University","science and engineering universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Degree conferral","Not stated","Starting from 2024, our university will introduce the ""AIGC Detection Service System"" to screen all dissertation papers submitted by degree-seeking graduate students. All students are expected to conscientiously adhere to academic standards and resist any practices involving the use of artificial intelligence to ghostw","https://yjsy.ncepu.edu.cn/tzgg/9f64c23df5914e53b821a413943280db.htm"
111,"重庆医科大学","Chongqing Medical University","medical universities","","",0,0,1,0,"AIGC ratio","No threshold value in threshold field",,"Graduation or thesis progression","No","The second item under ""Disqualifying Indicators"" regarding academic integrity now includes ""including AI ghostwriting."" This year, the thesis plagiarism detection system has been updated with an AIGC detection function. All full-time undergraduate theses for the graduating class of 2025 will undergo AIGC detection, and","https://jwc.cqmu.edu.cn/info/1007/3361.htm"
116,"南京林业大学","Nanjing Forestry University","forestry universities","","",0,1,1,0,"AIGC ratio","Not numerically specified",,"Graduation or thesis progression","Yes","AIGC detection and format checking will be conducted within the graduation thesis (design) system (specific operational procedures are detailed in Appendix 2). Under the guidance of their advisors, students are required to revise and improve their theses (designs) based on the results of the AIGC detection and format c","http://jwc.njfu.edu.cn//sjjx/bysjlw/20250424/i338126.html"
118,"浙江师范大学","Zhejiang Normal University","normal (teacher education) universities","","",0,1,1,1,"AIGC ratio","<=",30,"Unspecified","Not stated","The similarity rate of the thesis must not exceed 20%, and the AIGC detection result must not exceed 30%.","https://smxy.zjnu.edu.cn/2025/0416/c17162a515544/page.htm"
119,"海南大学","Hainan University","comprehensive universities","","",0,1,1,1,"AIGC ratio","<=",20,"Graduation or thesis progression","Not stated","If both the paper similarity rate and the AIGC full-text detection value are ≤20%, the thesis is deemed to have passed the detection.","https://jwc.hainanu.edu.cn/__local/1/04/AA/FD034AC1081D9280A636BC5666B_1D7E8AAB_1BE81.pdf"
120,"南京工业大学","Nanjing Tech University","science and engineering universities","","维普论文检测系统",1,1,1,0,"AIGC ratio","Not numerically specified",,"Defense eligibility","Not stated","Regarding graduation projects (theses) with detection results indicating a high proportion of suspected AI-generated content, the supervising instructor shall review and verify the findings, guiding and urging students to make revisions and undergo re-detection. Cases confirmed as academic misconduct will be subject to","https://jwc.njtech.edu.cn/info/1160/5987.htm"
121,"南京中医药大学","Nanjing University of Chinese Medicine","traditional Chinese medicine universities","","",0,1,1,1,"AIGC ratio","<=",40,"Unspecified","Not stated","The proportion of AI-generated content indicated in the AIGC detection results shall be ≤40%.","https://jwc.hlxy.edu.cn/info/1172/6323.htm"
122,"南京信息工程大学","Nanjing University of Information Science & Technology","science and engineering universities","","",0,1,1,1,"AIGC ratio","<",40,"Defense eligibility","Not stated","rtificial intelligence. If the proportion of AI-generated content shown in the detection results is generally less than 40%, it is considered as passing the detection. In cases where the AIGC detection results significantly exceed the standard","https://ycxy.nuist.edu.cn/2025/0106/c73a281139/pagem.htm"
123,"广东工业大学","Guangdong University of Technology","science and engineering universities","","",0,1,1,1,"AIGC ratio",">",30,"Defense eligibility","Not stated","om April 22 to May 5, 2025. Students with a similarity detection rate exceeding 20% or an AIGC detection rate exceeding 30% will not be eligible to apply for the thesis defense. The university provides two detection opportunities for the defen","https://qghgxy.gdut.edu.cn/info/1105/11933.htm"
